,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
33907,17473,Beatrice Callegari,F,24.0,175.0,59.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,
33915,17478,Emmanuel Earl Callender,M,32.0,189.0,86.0,Trinidad and Tobago,TTO,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,
33923,17482,Jonathan Calleri,M,22.0,179.0,75.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
33937,17489,Facundo Callioni,M,30.0,183.0,77.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
33998,17512,Mlina Clugreanu,F,19.0,176.0,66.0,Romania,ROU,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",
34027,17525,Eva Calvo Gmez,F,25.0,176.0,57.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Featherweight,Silver
34046,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,
34047,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,
34048,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,
34049,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,
34050,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
34051,17528,Jossimar Orlando Calvo Moreo,M,22.0,160.0,54.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,
34054,17531,Tania Calvo Barbero,F,24.0,166.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Sprint,
34055,17531,Tania Calvo Barbero,F,24.0,166.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Keirin,
34056,17531,Tania Calvo Barbero,F,24.0,166.0,64.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Sprint,
34102,17560,Alyn Camara,M,27.0,196.0,84.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Long Jump,
34103,17561,Amadou Camara,M,22.0,163.0,69.0,Guinea,GUI,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
34126,17581,Alexandre Camarasa,M,29.0,193.0,100.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
34133,17585,Alexandre Camargo,M,17.0,177.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",
34145,17591,"Elizabeth Folake ""Liz"" Cambage",F,24.0,203.0,98.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Women's Basketball,
34169,17600,Mattia Camboni,M,20.0,180.0,70.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Men's Windsurfer,
34171,17602,"Asuka Antonio ""Aska"" Cambridge",M,23.0,179.0,74.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,
34172,17602,"Asuka Antonio ""Aska"" Cambridge",M,23.0,179.0,74.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
34255,17650,Tiago Henrique de Oliveira Camilo,M,34.0,180.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,
34256,17651,Yssica Camilo Gonzlez,F,23.0,168.0,73.0,Dominican Republic,DOM,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
34297,17677,Facundo Campazzo,M,25.0,181.0,85.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,
34301,17678,Alan Campbell,M,33.0,191.0,96.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,
34304,17679,Amber Campbell,F,35.0,171.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,
34305,17680,"Andrew Campbell, Jr.",M,24.0,178.0,70.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Lightweight Double Sculls,
34311,17684,Bronte Campbell,F,22.0,179.0,58.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
34312,17684,Bronte Campbell,F,22.0,179.0,58.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,
34313,17684,Bronte Campbell,F,22.0,179.0,58.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
34323,17687,Cate Natalie Campbell,F,24.0,186.0,67.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 50 metres Freestyle,
